GR,log10(LLD),log10(MSFL),DT,RHOB,NPHI,PEF
7.44,2.079,1.8232,59.31,2.6,0.06,8.59
5.21,2.118,1.9281,57.63,2.59,0.07,8
5.59,2.1902,1.7045,60.25,2.57,0.07,8.66
5.98,2.121,2.0332,61.69,2.54,0.07,8.67
7.86,2.0646,1.6133,63.19,2.5,0.1,8.48
7.82,2.0646,1.4921,62,2.52,0.11,9.7
7.75,2.102,1.6712,61.75,2.53,0.1,7.48
7.72,2.1478,1.6262,60.31,2.53,0.09,7.82
8.13,2.1537,1.7102,60.31,2.53,0.09,8.13
8.6,2.2119,1.8605,60.06,2.55,0.09,8.36
8.65,2.1607,1.7265,60,2.55,0.09,9.41
7.49,2.0309,1.802,59.13,2.56,0.09,7.85
13.04,1.8462,1.5853,60.38,2.54,0.1,10.13
13.49,1.8366,1.5839,60,2.54,0.09,9.88
16.06,1.8363,1.4246,61.13,2.54,0.1,8.26
15.74,1.8773,1.5544,59.94,2.54,0.08,9
16.88,1.9986,1.8273,54.75,2.58,0.07,8.73
19.09,2.236,2.3124,52.06,2.65,0.04,8.15
23.28,2.4346,2.6026,52.69,2.67,0.02,8.45
25.61,2.2183,2.2956,54.81,2.65,0.02,7.8
27,2.1522,1.5698,52.38,2.63,0.04,7.79
24.98,2.3397,2.2518,51.63,2.68,0.02,7.59
28.77,2.4221,2.7512,51.63,2.67,0.02,7.09
32.97,2.4263,2.0626,50.5,2.68,0.01,8.1
37.63,2.6315,3.2967,50.81,2.7,0.01,7.36
32.22,2.5417,2.2307,54.38,2.7,0.01,7.51
22.83,2.3974,1.9591,57.38,2.64,0.03,7.29
21.77,2.3065,2.5323,58.25,2.6,0.04,9.44
23.34,2.2937,1.759,57.5,2.58,0.06,11.49
23.23,2.2263,1.8591,58.38,2.59,0.06,12.78
38.59,2.366,2.2223,53.63,2.63,0.02,14.83
34.91,2.3551,2.4784,52.88,2.66,0.04,12.68
35.78,2.3613,3.2502,51.88,2.7,0.03,8.56
28.25,2.4133,2.2506,51.94,2.69,0.02,8.55
26.92,2.4252,2.4685,56.38,2.65,0.02,9.87
27.95,2.2472,1.9722,60.13,2.57,0.05,11.52
41.63,2.1494,1.5678,58.75,2.53,0.09,10.26
41.72,2.2777,1.776,57.13,2.58,0.07,11.97
25.84,2.5448,2.3001,61.81,2.59,0.05,16.36
21.47,2.7876,2.5429,64.19,2.48,0.11,9.27
21.31,2.4559,1.9449,63.88,2.43,0.16,13.23
36.34,2.3522,1.9646,64.38,2.46,0.15,8.92
16.52,1.8972,1.4322,61.75,2.49,0.13,9.08
16.08,1.9891,1.4059,54.63,2.55,0.1,10.38
16.8,2.1593,1.7795,53.25,2.6,0.06,9.07
21.67,2.5294,2.2291,54.25,2.67,0.03,9.6
11.95,2.7176,2.2481,58.31,2.62,0.05,11.52
11.63,2.8386,3.1318,63.06,2.54,0.08,12.65
16.88,2.7208,2.2765,66.94,2.45,0.14,9.51
17.61,2.5119,2.0981,67.25,2.4,0.17,8.9
21.72,2.3235,1.9777,66.88,2.39,0.17,8.14
23.98,2.216,2.3284,64.88,2.38,0.16,10.79
20.27,2.1545,2.2111,62.25,2.42,0.14,11.7
13.2,2.5699,2.0031,51.06,2.67,0.02,9.09
16.89,2.5942,2.715,51.75,2.69,0.01,9.49
12.84,2.5254,2.0746,53.25,2.64,0.02,8.77
10.49,2.4142,2.4465,52.81,2.63,0.03,13.39
5.6,2.3963,2.6394,53.31,2.64,0.03,12.02
4.86,2.4323,2.1107,53.06,2.64,0.03,11.4
4.86,2.5589,2.4435,52.5,2.64,0.03,8.16
5.23,2.5739,1.9513,55.63,2.62,0.04,10.66
6,2.4962,1.8977,56.81,2.59,0.05,10.89
8.21,2.4282,1.7566,56,2.57,0.07,10.01
9.41,2.4437,1.6943,54.69,2.56,0.07,11.05
6.05,2.6059,1.9805,54.06,2.59,0.06,9.13
6.04,2.6234,1.991,53.63,2.6,0.04,8.97
8.88,2.5699,2.0477,53.81,2.64,0.04,8.44
12.99,2.5636,1.7018,53.75,2.67,0.03,9.73
8.57,2.5295,1.8222,51.5,2.58,0.05,10.52
5.98,2.7567,2.9306,49.94,2.67,0.02,8.18
7.88,2.6717,3.2763,50.44,2.7,0.01,8.66
6.39,2.6877,2.4959,50,2.7,0.01,7.64
9.42,2.8515,3.234,50.19,2.68,0.01,9.54
9.02,2.8668,3.2617,50.06,2.67,0.01,8.13
7.49,2.8543,2.8757,50.38,2.67,0.01,8.07
5.61,2.8125,3.2786,50.44,2.69,0.01,11.55
7.87,2.7524,3.2636,50.25,2.69,0.01,10
7.89,2.6922,3.2838,49.94,2.7,0.01,7.14
7.52,2.6814,3.1016,49.69,2.7,0.01,6.93
6.74,2.7405,3.2554,50,2.7,0.01,8.13
5.66,2.8965,3.299,49.88,2.7,0.01,9.16
6.76,2.8879,3.0047,49.25,2.7,0.01,9.56
5.23,2.7778,2.6079,49.44,2.7,0.01,9.57
4.5,2.8852,3.301,50.38,2.7,0.01,9.58
6.43,2.9677,3.2834,49.44,2.69,0.01,8.34
6.8,2.8862,2.8725,51.44,2.69,0.01,8.77
4.52,2.8808,2.9137,53.25,2.66,0.02,11.92
4.51,2.9021,2.8731,52.63,2.61,0.03,9.8
4.14,2.9594,2.6945,51.88,2.63,0.02,10.52
4.1,2.8377,2.4576,53,2.64,0.02,10.94
8.2,2.6615,2.1653,54.38,2.62,0.05,11.57
7.84,2.6376,2.4981,52.06,2.57,0.05,10.27
6.05,2.6147,2.66,50.81,2.63,0.02,9.46
4.91,2.4991,2.4882,51.25,2.69,0.02,8.66
6.75,2.2268,2.3428,52.31,2.68,0.02,8.2
6.41,2.1331,1.9493,53.94,2.68,0.02,8.78
7.55,2.125,1.9067,55.06,2.65,0.04,9.59
8.26,1.9505,1.9307,57.88,2.63,0.05,9.01
6.73,1.8648,1.5132,59,2.62,0.06,7.23
7.79,1.8279,1.531,58.44,2.59,0.06,8.06
7.45,1.8338,1.5354,57.19,2.61,0.05,10.2
8.58,1.8688,1.7162,55.75,2.64,0.05,8.18
8.95,1.8942,1.7807,55.69,2.66,0.04,7.55
7.07,2.0616,1.9857,54,2.66,0.04,9.34
5.99,2.2819,2.0233,58.5,2.61,0.05,9.6
7.11,2.2013,1.5214,65.25,2.54,0.08,9.29
7.43,2.0613,1.3965,72.44,2.36,0.16,9.36
8.09,2.0883,1.1767,73.44,2.35,0.19,11.65
6.66,2.114,1.1741,71.56,2.39,0.19,13.23
4.46,2.1623,1.2636,69.5,2.43,0.17,10.78
5.61,2.2216,1.6611,69,2.47,0.15,8.91
5.58,2.1428,1.3604,67.31,2.47,0.14,10.99
5.21,1.9331,1.2665,63.25,2.49,0.14,13.34
5.23,1.7195,1.5581,60.44,2.55,0.12,9.94
4.48,1.6898,1.192,57.31,2.58,0.1,9.2
5.92,1.77,1.5544,56.25,2.61,0.08,10.16
6.63,1.9821,1.871,54.5,2.61,0.06,9.81
5.59,2.4928,1.8544,51.38,2.69,0.01,8.09
10.01,2.2123,1.6938,53.13,2.69,0.01,8.41
14.36,1.7563,1.3916,56.13,2.66,0.02,8.08
17.25,1.6518,1.2443,57.69,2.64,0.06,7.5
37.53,1.5804,1.1931,58.5,2.66,0.04,6.54
26.88,1.6375,2.3395,54.94,2.69,0.06,7.84
33.09,1.2765,1.2749,60.88,2.68,0.06,6.64
40.13,1.2632,0.9894,61.31,2.64,0.09,5.74
33.13,1.5433,1.3662,59.81,2.65,0.11,8.5
27.09,2.2211,2.6061,51.31,2.67,0.03,6.95
30.59,2.1243,2.4682,51.56,2.66,0.02,8.02
34.16,2.0087,1.7861,52.69,2.66,0.03,8.01
30.45,2.1247,2.43,51,2.69,0.03,7.51
25.48,2.2278,2.6514,51.06,2.7,0.02,10
21.7,1.9243,1.5908,55.06,2.63,0.03,11.81
19.47,1.7879,1.3367,57.75,2.59,0.06,10.37
17.09,1.7518,1.3179,58.5,2.59,0.07,8.48
24.53,1.7373,1.5396,59.75,2.55,0.1,8.69
27.64,1.8454,1.5228,59.19,2.56,0.09,7.93
28.92,1.9103,1.6969,58,2.57,0.09,10.1
25.84,1.9082,1.4701,57.63,2.54,0.09,10.85
22.92,1.9272,1.7183,58.38,2.55,0.09,9.05
20.69,2.0043,1.4128,57.75,2.59,0.08,13.35
12.76,1.9983,2.0872,56.31,2.56,0.09,13.79
9.47,1.814,1.9481,57.44,2.55,0.1,9.81
12.07,1.5946,1.2622,59.56,2.54,0.1,10.9
8.23,1.5384,1.3786,60.25,2.53,0.11,11.63
10.05,1.7718,1.8949,54.5,2.6,0.06,10.52
10.47,1.9027,1.8802,52.63,2.66,0.03,7.87
11.98,1.8781,1.9227,52.63,2.66,0.04,8.56
12.73,1.8146,1.7257,54.31,2.65,0.04,9.53
10.9,1.645,1.3955,56.81,2.61,0.06,11.3
10.51,1.5701,1.3979,56.69,2.58,0.08,10.38
12.8,1.5701,1.4989,56.81,2.59,0.08,10.41
15.35,1.5189,1.3804,58.81,2.57,0.08,13.88
10.86,1.4273,1.4306,58.19,2.56,0.09,16.98
11.51,1.4667,1.3247,58.06,2.57,0.09,13.27
12.3,1.624,1.5371,56.13,2.61,0.07,13.31
23.16,1.813,2.0326,52.75,2.64,0.04,8.99
24.45,1.7256,1.2263,53.13,2.62,0.03,8.96
26.63,1.8078,1.9228,54.25,2.63,0.04,8.65
33.09,1.8205,2.0219,53,2.63,0.03,8.18
30.67,1.9717,2.5404,51.31,2.69,0.02,8.23
26.98,2.5339,3.2119,50.44,2.7,0.01,8.39
40.97,2.4023,2.9444,53,2.68,0.01,6.66
31.42,2.3166,2.5177,52.75,2.68,0.02,7.92
30.77,2.3539,2.1282,53.19,2.68,0.02,8.34
32.03,2.33,2.1906,52.44,2.68,0.02,8.47
34.25,2.3913,1.9947,53.06,2.68,0.02,8.25
43.28,2.3103,2.3148,53.19,2.68,0.02,7.07
47.31,2.3519,2.137,52.75,2.68,0.02,7.31
64.31,2.4176,2.436,52.5,2.7,0.02,7.48
77,2.3816,2.3328,53.13,2.69,0.02,7.8
69.25,2.3293,2.0712,53.25,2.69,0.02,8.95
66.19,2.2669,1.8623,52.25,2.69,0.02,9.11
63.81,2.3292,1.9764,51.31,2.68,0.02,8.23
45.5,2.5555,2.2465,52,2.69,0.01,7.98
47.13,2.4325,2.6484,52,2.7,0.01,7.71
46.19,2.2755,1.7791,51.19,2.68,0.01,8.21
40.34,2.4069,2.5352,49.81,2.7,0.01,7.71
39.56,2.3739,2.4378,53.31,2.7,0.01,7.71
31.94,2.2419,2.3511,53.88,2.68,0.02,8.01
